time,speed,number_of_reads,region_id,bus_count
2015-01-11T23:50:26,22.5,325,13,19
2015-01-11T23:50:26,20.45,290,13,20
2015-01-11T23:50:26,21.82,249,13,20
2015-01-11T23:50:26,22.7,238,13,19
2015-01-11T23:50:26,20.45,235,13,15
2015-01-11T23:50:26,23.18,191,13,14
2015-01-11T23:50:26,23.86,111,13,10
2015-01-11T23:50:26,23.86,212,13,14
2015-01-11T23:50:26,25.23,98,13,8
2015-01-11T23:50:26,26.59,117,13,7
2015-01-11T23:50:26,28.57,143,13,9
2015-01-11T23:50:26,22.5,112,13,8
2015-01-11T23:50:26,21.44,92,13,6
2015-01-11T23:50:26,25.23,162,13,9
2015-01-11T23:50:26,23.86,89,13,6
2015-01-11T23:50:26,23.18,61,13,6
2015-01-11T23:50:26,25.6,170,13,8
2015-01-11T23:50:26,22.5,104,13,6
2015-01-11T23:50:26,25.91,90,13,8
2015-01-11T23:50:26,26.49,124,13,8
2015-01-11T23:50:26,21.82,45,13,6
2015-01-11T23:50:26,0,22,13,7
2015-01-11T23:50:26,22.36,83,13,7
2015-01-11T23:50:26,22.5,78,13,5
2015-01-11T23:50:26,24.51,62,13,5
2015-01-11T23:50:26,24.1,174,13,9
2015-01-11T23:50:26,22.23,105,13,7
2015-01-11T23:50:26,27.61,126,13,8
2015-01-11T23:50:26,20.8,146,13,12
2015-01-11T23:50:26,21.14,216,13,16
2015-01-11T23:50:26,24.55,262,13,17
2015-01-11T23:50:26,21.82,233,13,15
2015-01-11T23:50:26,22.5,228,13,18
2015-01-11T23:50:26,24.41,223,13,20
2015-01-11T23:50:26,20.45,310,13,20
2015-01-11T23:50:26,21.14,356,13,29
2015-01-11T23:50:26,21.14,414,13,27
